date,city,state,aqi,pm25,pm10,no2,so2,co,category,year,month
2022-03-22,Delhi,Delhi,183.4,99.8,112.8,34.7,13.0,10.63,Moderate,2022,2022-03
2022-03-23,Delhi,Delhi,149.4,82.8,118.9,19.5,11.5,8.17,Moderate,2022,2022-03
2022-03-24,Delhi,Delhi,188.4,116.3,115.0,28.5,9.2,11.08,Moderate,2022,2022-03
2022-03-25,Delhi,Delhi,151.8,88.4,134.4,20.7,7.7,4.7,Moderate,2022,2022-03
2022-03-26,Delhi,Delhi,162.3,91.7,150.6,29.5,6.9,6.17,Moderate,2022,2022-03
2022-03-27,Delhi,Delhi,163.3,67.1,152.1,24.9,6.8,7.65,Moderate,2022,2022-03
2022-03-28,Delhi,Delhi,128.2,52.2,104.9,18.3,8.8,5.23,Moderate,2022,2022-03
2022-03-29,Delhi,Delhi,190.6,111.4,146.9,28.1,14.1,6.89,Moderate,2022,2022-03
2022-03-30,Delhi,Delhi,176.5,96.9,112.1,17.0,5.4,6.01,Moderate,2022,2022-03
2022-03-31,Delhi,Delhi,192.6,100.4,136.1,25.5,14.5,6.53,Moderate,2022,2022-03
2022-04-01,Delhi,Delhi,188.2,89.4,150.3,34.5,14.6,4.87,Moderate,2022,2022-04
2022-04-02,Delhi,Delhi,156.5,94.2,116.8,17.4,8.3,9.26,Moderate,2022,2022-04
2022-04-03,Delhi,Delhi,108.9,57.9,70.4,9.7,4.0,2.74,Moderate,2022,2022-04
2022-04-04,Delhi,Delhi,152.8,63.6,92.5,24.0,6.0,5.17,Moderate,2022,2022-04
2022-04-05,Delhi,Delhi,153.4,82.9,94.9,15.8,4.9,4.1,Moderate,2022,2022-04
2022-04-06,Delhi,Delhi,176.0,78.6,109.3,16.0,6.3,6.76,Moderate,2022,2022-04
2022-04-07,Delhi,Delhi,142.5,71.4,117.7,12.1,10.0,6.43,Moderate,2022,2022-04
2022-04-08,Delhi,Delhi,128.2,51.2,115.3,24.4,4.2,3.98,Moderate,2022,2022-04
2022-04-09,Delhi,Delhi,168.4,71.5,106.7,21.0,9.1,7.53,Moderate,2022,2022-04
2022-04-10,Delhi,Delhi,171.6,80.4,126.1,29.1,5.5,5.16,Moderate,2022,2022-04
2022-04-11,Delhi,Delhi,167.6,84.2,127.8,15.6,8.8,6.92,Moderate,2022,2022-04
2022-04-12,Delhi,Delhi,161.7,70.8,106.3,20.3,5.0,5.32,Moderate,2022,2022-04
2022-04-13,Delhi,Delhi,140.4,57.4,127.2,21.2,9.0,7.24,Moderate,2022,2022-04
2022-04-14,Delhi,Delhi,130.7,65.3,76.4,18.9,7.8,6.51,Moderate,2022,2022-04
2022-04-15,Delhi,Delhi,131.7,59.0,91.6,20.7,7.7,4.51,Moderate,2022,2022-04
2022-04-16,Delhi,Delhi,150.5,92.8,119.2,16.3,5.3,3.93,Moderate,2022,2022-04
2022-04-17,Delhi,Delhi,140.3,59.6,93.1,14.1,10.5,3.26,Moderate,2022,2022-04
2022-04-18,Delhi,Delhi,143.9,72.8,102.8,28.5,5.1,5.17,Moderate,2022,2022-04
2022-04-19,Delhi,Delhi,141.9,59.7,116.0,27.2,8.2,6.08,Moderate,2022,2022-04
2022-04-20,Delhi,Delhi,171.5,76.7,147.1,17.6,7.9,6.35,Moderate,2022,2022-04
2022-04-21,Delhi,Delhi,118.6,48.3,94.2,13.6,7.0,3.1,Moderate,2022,2022-04
2022-04-22,Delhi,Delhi,155.8,77.2,118.8,13.4,7.3,3.95,Moderate,2022,2022-04
2022-04-23,Delhi,Delhi,177.0,78.1,145.6,30.3,10.6,6.88,Moderate,2022,2022-04
2022-04-24,Delhi,Delhi,141.9,67.9,97.8,27.2,10.1,8.31,Moderate,2022,2022-04
2022-04-25,Delhi,Delhi,162.9,98.6,101.4,14.3,10.9,7.0,Moderate,2022,2022-04
2022-04-26,Delhi,Delhi,141.3,82.2,85.6,24.8,5.7,3.75,Moderate,2022,2022-04
2022-04-27,Delhi,Delhi,163.4,88.2,124.1,20.1,12.1,5.83,Moderate,2022,2022-04
2022-04-28,Delhi,Delhi,145.3,83.7,105.4,18.2,7.7,4.66,Moderate,2022,2022-04
2022-04-29,Delhi,Delhi,155.0,67.6,141.1,19.5,8.9,8.72,Moderate,2022,2022-04
2022-04-30,Delhi,Delhi,191.9,101.6,114.5,37.0,11.8,6.41,Moderate,2022,2022-04
2022-05-01,Delhi,Delhi,165.8,87.7,126.6,31.1,11.5,4.32,Moderate,2022,2022-05
2022-05-02,Delhi,Delhi,149.1,67.8,96.8,25.2,4.7,6.38,Moderate,2022,2022-05
2022-05-03,Delhi,Delhi,168.9,78.1,148.4,15.8,12.2,4.24,Moderate,2022,2022-05
2022-05-04,Delhi,Delhi,165.7,78.8,144.0,16.2,6.9,8.1,Moderate,2022,2022-05
2022-05-05,Delhi,Delhi,177.6,97.1,136.2,19.6,8.4,4.84,Moderate,2022,2022-05
2022-05-06,Delhi,Delhi,188.4,112.7,147.6,24.1,10.0,10.91,Moderate,2022,2022-05
2022-05-07,Delhi,Delhi,164.5,82.5,130.7,13.5,12.1,9.42,Moderate,2022,2022-05
2022-05-08,Delhi,Delhi,133.3,68.7,110.4,25.4,8.7,3.48,Moderate,2022,2022-05
2022-05-09,Delhi,Delhi,200.0,96.4,168.9,38.4,15.3,7.61,Moderate,2022,2022-05
2022-05-10,Delhi,Delhi,188.1,76.6,177.6,34.0,6.8,10.69,Moderate,2022,2022-05
2022-05-11,Delhi,Delhi,159.5,83.2,113.2,13.8,7.5,8.31,Moderate,2022,2022-05
2022-05-12,Delhi,Delhi,182.5,69.6,124.7,23.3,10.4,10.37,Moderate,2022,2022-05
2022-05-13,Delhi,Delhi,129.6,72.2,94.7,13.9,6.8,3.32,Moderate,2022,2022-05
2022-05-14,Delhi,Delhi,129.5,54.7,97.0,16.9,9.8,4.47,Moderate,2022,2022-05
2022-05-15,Delhi,Delhi,199.3,76.3,162.5,20.2,15.6,5.17,Moderate,2022,2022-05
2022-05-16,Delhi,Delhi,183.2,87.9,107.0,36.6,10.1,8.03,Moderate,2022,2022-05
2022-05-17,Delhi,Delhi,158.5,68.2,144.1,16.6,6.3,3.4,Moderate,2022,2022-05
2022-05-18,Delhi,Delhi,157.7,77.8,122.3,13.9,10.8,6.01,Moderate,2022,2022-05
2022-05-19,Delhi,Delhi,99.3,47.3,76.9,9.8,3.9,5.41,Satisfactory,2022,2022-05
2022-05-20,Delhi,Delhi,182.4,110.7,127.6,20.5,11.3,6.63,Moderate,2022,2022-05
2022-05-21,Delhi,Delhi,179.0,69.2,114.3,19.3,11.4,3.72,Moderate,2022,2022-05
2022-05-22,Delhi,Delhi,186.4,75.5,162.2,18.9,11.7,5.5,Moderate,2022,2022-05
2022-05-23,Delhi,Delhi,152.8,84.6,136.4,27.5,7.6,7.14,Moderate,2022,2022-05
2022-05-24,Delhi,Delhi,149.8,64.3,100.0,28.1,4.6,3.51,Moderate,2022,2022-05
2022-05-25,Delhi,Delhi,165.4,79.6,150.0,29.5,7.8,5.02,Moderate,2022,2022-05
2022-05-26,Delhi,Delhi,130.4,61.4,102.5,14.6,8.0,4.74,Moderate,2022,2022-05
2022-05-27,Delhi,Delhi,111.9,50.4,104.0,19.2,4.1,6.13,Moderate,2022,2022-05
2022-05-28,Delhi,Delhi,195.8,97.3,177.7,34.5,10.0,4.09,Moderate,2022,2022-05
2022-05-29,Delhi,Delhi,165.0,87.8,107.7,16.0,11.8,9.79,Moderate,2022,2022-05
2022-05-30,Delhi,Delhi,120.2,60.8,74.3,13.5,3.7,6.8,Moderate,2022,2022-05
2022-05-31,Delhi,Delhi,162.5,72.4,125.4,25.7,11.6,4.59,Moderate,2022,2022-05
2022-06-01,Delhi,Delhi,147.4,56.4,89.2,27.7,10.9,6.47,Moderate,2022,2022-06
2022-06-02,Delhi,Delhi,206.1,87.0,188.7,26.8,10.1,8.4,Poor,2022,2022-06
2022-06-03,Delhi,Delhi,191.6,75.0,118.1,32.3,6.5,8.46,Moderate,2022,2022-06
2022-06-04,Delhi,Delhi,155.5,69.9,107.7,25.9,7.0,6.63,Moderate,2022,2022-06
2022-06-05,Delhi,Delhi,137.9,68.1,112.4,26.5,9.2,3.94,Moderate,2022,2022-06
2022-06-06,Delhi,Delhi,156.3,78.0,123.3,18.8,10.7,3.79,Moderate,2022,2022-06
2022-06-07,Delhi,Delhi,171.8,68.4,144.5,24.0,11.1,6.42,Moderate,2022,2022-06
2022-06-08,Delhi,Delhi,184.8,105.7,153.0,20.8,11.0,6.36,Moderate,2022,2022-06
2022-06-09,Delhi,Delhi,156.6,62.9,143.6,15.1,12.1,5.93,Moderate,2022,2022-06
2022-06-10,Delhi,Delhi,173.0,102.0,145.8,30.6,10.9,8.25,Moderate,2022,2022-06
2022-06-11,Delhi,Delhi,139.4,81.4,90.6,19.3,5.7,8.3,Moderate,2022,2022-06
2022-06-12,Delhi,Delhi,178.6,75.6,138.8,33.9,5.7,8.55,Moderate,2022,2022-06
2022-06-13,Delhi,Delhi,173.7,78.4,159.7,34.1,13.4,6.77,Moderate,2022,2022-06
2022-06-14,Delhi,Delhi,169.7,77.5,149.6,14.3,10.1,4.95,Moderate,2022,2022-06
2022-06-15,Delhi,Delhi,169.7,69.4,98.6,27.8,8.0,8.31,Moderate,2022,2022-06
2022-06-16,Delhi,Delhi,164.9,84.0,142.8,19.5,10.1,9.14,Moderate,2022,2022-06
2022-06-17,Delhi,Delhi,159.3,84.1,102.4,13.2,11.7,3.32,Moderate,2022,2022-06
2022-06-18,Delhi,Delhi,170.8,103.4,148.6,34.1,8.1,8.66,Moderate,2022,2022-06
2022-06-19,Delhi,Delhi,192.7,91.8,142.9,29.9,14.2,11.44,Moderate,2022,2022-06
2022-06-20,Delhi,Delhi,159.1,76.6,134.5,17.3,5.7,5.44,Moderate,2022,2022-06
2022-06-21,Delhi,Delhi,201.3,90.4,134.5,21.7,6.5,4.17,Poor,2022,2022-06
2022-06-22,Delhi,Delhi,168.2,79.4,138.3,17.9,13.0,8.66,Moderate,2022,2022-06
2022-06-23,Delhi,Delhi,174.2,69.9,124.9,32.3,13.5,6.74,Moderate,2022,2022-06
2022-06-24,Delhi,Delhi,144.1,89.0,92.6,27.8,9.0,6.38,Moderate,2022,2022-06
2022-06-25,Delhi,Delhi,177.5,89.3,114.0,18.0,7.3,4.87,Moderate,2022,2022-06
2022-06-26,Delhi,Delhi,154.8,61.0,145.2,28.8,11.8,9.26,Moderate,2022,2022-06
2022-06-27,Delhi,Delhi,195.4,82.4,138.4,33.4,12.7,5.11,Moderate,2022,2022-06
2022-06-28,Delhi,Delhi,156.7,68.0,119.8,23.7,9.2,3.71,Moderate,2022,2022-06
2022-06-29,Delhi,Delhi,183.0,108.1,120.1,17.5,13.6,10.65,Moderate,2022,2022-06
2022-06-30,Delhi,Delhi,175.3,94.2,135.0,15.9,8.8,6.12,Moderate,2022,2022-06
2022-07-01,Delhi,Delhi,183.7,81.3,154.2,25.6,6.3,5.29,Moderate,2022,2022-07
2022-07-02,Delhi,Delhi,164.8,96.3,123.3,22.7,9.8,8.73,Moderate,2022,2022-07
2022-07-03,Delhi,Delhi,181.2,84.0,148.8,26.8,7.9,9.99,Moderate,2022,2022-07
2022-07-04,Delhi,Delhi,189.4,110.6,169.8,31.2,13.6,9.07,Moderate,2022,2022-07
2022-07-05,Delhi,Delhi,200.9,109.1,160.2,34.2,7.6,11.09,Poor,2022,2022-07
2022-07-06,Delhi,Delhi,172.5,79.4,146.2,17.1,12.2,9.19,Moderate,2022,2022-07
2022-07-07,Delhi,Delhi,179.5,90.1,99.2,20.5,10.9,10.63,Moderate,2022,2022-07
2022-07-08,Delhi,Delhi,146.0,77.7,111.9,25.3,5.2,7.37,Moderate,2022,2022-07
2022-07-09,Delhi,Delhi,192.8,98.3,180.3,23.3,11.9,11.04,Moderate,2022,2022-07
2022-07-10,Delhi,Delhi,166.3,75.2,138.6,14.6,9.8,5.63,Moderate,2022,2022-07
2022-07-11,Delhi,Delhi,180.5,95.5,102.6,33.3,14.2,10.61,Moderate,2022,2022-07
2022-07-12,Delhi,Delhi,163.8,92.0,91.7,13.5,7.6,6.48,Moderate,2022,2022-07
2022-07-13,Delhi,Delhi,184.6,104.3,152.0,24.6,8.1,11.05,Moderate,2022,2022-07
2022-07-14,Delhi,Delhi,144.0,60.4,125.0,23.5,5.9,3.36,Moderate,2022,2022-07
2022-07-15,Delhi,Delhi,127.4,69.2,103.4,14.4,9.9,3.32,Moderate,2022,2022-07
2022-07-16,Delhi,Delhi,190.6,91.6,153.5,24.3,8.3,11.31,Moderate,2022,2022-07
2022-07-17,Delhi,Delhi,174.0,83.2,157.9,18.7,7.1,3.7,Moderate,2022,2022-07
2022-07-18,Delhi,Delhi,148.4,87.2,109.7,29.1,5.8,8.12,Moderate,2022,2022-07
2022-07-19,Delhi,Delhi,208.2,117.9,178.7,37.8,14.2,9.38,Poor,2022,2022-07
2022-07-20,Delhi,Delhi,180.5,103.1,134.0,17.0,6.5,8.56,Moderate,2022,2022-07
2022-07-21,Delhi,Delhi,191.9,92.7,120.9,26.7,6.4,8.3,Moderate,2022,2022-07
2022-07-22,Delhi,Delhi,194.8,88.5,142.6,15.9,6.5,6.95,Moderate,2022,2022-07
2022-07-23,Delhi,Delhi,161.6,80.0,127.7,18.6,10.5,8.79,Moderate,2022,2022-07
2022-07-24,Delhi,Delhi,154.6,67.7,146.1,15.0,8.5,6.92,Moderate,2022,2022-07
2022-07-25,Delhi,Delhi,175.0,96.0,135.5,14.2,8.1,7.13,Moderate,2022,2022-07
2022-07-26,Delhi,Delhi,170.6,66.2,99.2,21.8,6.3,7.28,Moderate,2022,2022-07
2022-07-27,Delhi,Delhi,160.9,87.8,140.1,16.7,6.2,3.89,Moderate,2022,2022-07
2022-07-28,Delhi,Delhi,207.1,80.3,191.5,17.9,11.8,10.02,Poor,2022,2022-07
2022-07-29,Delhi,Delhi,196.6,115.8,164.3,34.6,9.2,10.34,Moderate,2022,2022-07
2022-07-30,Delhi,Delhi,205.3,100.3,165.8,29.4,13.7,4.78,Poor,2022,2022-07
2022-07-31,Delhi,Delhi,180.4,71.2,117.1,17.9,13.3,5.19,Moderate,2022,2022-07
2022-08-01,Delhi,Delhi,176.6,95.1,132.4,25.9,11.7,5.15,Moderate,2022,2022-08
2022-08-02,Delhi,Delhi,152.3,94.3,143.1,24.1,6.1,7.19,Moderate,2022,2022-08
2022-08-03,Delhi,Delhi,159.3,93.7,134.0,26.9,8.2,5.39,Moderate,2022,2022-08
2022-08-04,Delhi,Delhi,128.0,60.0,120.9,10.9,9.4,5.52,Moderate,2022,2022-08
2022-08-05,Delhi,Delhi,202.4,100.6,182.0,38.1,10.3,6.29,Poor,2022,2022-08
2022-08-06,Delhi,Delhi,154.8,80.8,141.7,16.3,9.5,7.01,Moderate,2022,2022-08
2022-08-07,Delhi,Delhi,151.1,83.4,138.1,15.3,6.3,8.89,Moderate,2022,2022-08
2022-08-08,Delhi,Delhi,173.8,73.6,155.0,24.2,7.4,9.53,Moderate,2022,2022-08
2022-08-09,Delhi,Delhi,182.1,84.9,143.4,18.1,9.0,10.7,Moderate,2022,2022-08
2022-08-10,Delhi,Delhi,101.7,45.0,82.7,12.1,7.0,2.57,Moderate,2022,2022-08
2022-08-11,Delhi,Delhi,163.9,71.6,95.0,16.5,9.2,5.49,Moderate,2022,2022-08
2022-08-12,Delhi,Delhi,175.6,101.6,126.8,19.3,10.7,8.47,Moderate,2022,2022-08
2022-08-13,Delhi,Delhi,157.2,61.1,132.8,25.1,8.4,8.45,Moderate,2022,2022-08
2022-08-14,Delhi,Delhi,157.2,90.1,123.3,29.0,6.3,3.85,Moderate,2022,2022-08
2022-08-15,Delhi,Delhi,163.4,82.9,151.0,13.8,5.9,6.22,Moderate,2022,2022-08
2022-08-16,Delhi,Delhi,164.1,99.1,111.0,23.1,5.3,4.26,Moderate,2022,2022-08
2022-08-17,Delhi,Delhi,185.3,90.6,140.1,25.7,11.7,4.74,Moderate,2022,2022-08
2022-08-18,Delhi,Delhi,172.6,66.8,116.2,28.4,6.9,8.1,Moderate,2022,2022-08
2022-08-19,Delhi,Delhi,151.1,88.9,93.8,24.6,10.9,8.73,Moderate,2022,2022-08
2022-08-20,Delhi,Delhi,207.4,112.8,155.3,32.0,15.2,8.88,Poor,2022,2022-08
2022-08-21,Delhi,Delhi,189.4,81.8,154.1,24.1,11.9,4.6,Moderate,2022,2022-08
2022-08-22,Delhi,Delhi,191.3,102.9,181.6,16.4,15.1,6.94,Moderate,2022,2022-08
2022-08-23,Delhi,Delhi,172.0,88.8,145.4,31.9,8.6,5.69,Moderate,2022,2022-08
2022-08-24,Delhi,Delhi,174.3,94.1,152.1,29.9,12.2,6.52,Moderate,2022,2022-08
2022-08-25,Delhi,Delhi,161.5,82.5,89.2,19.2,7.8,5.79,Moderate,2022,2022-08
2022-08-26,Delhi,Delhi,167.7,91.7,118.3,22.4,7.0,5.86,Moderate,2022,2022-08
2022-08-27,Delhi,Delhi,201.3,106.4,148.0,25.3,14.7,8.21,Poor,2022,2022-08
2022-08-28,Delhi,Delhi,187.3,92.7,104.9,22.7,9.2,6.73,Moderate,2022,2022-08
2022-08-29,Delhi,Delhi,187.6,98.6,160.5,33.3,12.4,10.92,Moderate,2022,2022-08
2022-08-30,Delhi,Delhi,219.0,84.2,137.6,17.7,13.7,12.25,Poor,2022,2022-08
2022-08-31,Delhi,Delhi,167.2,65.9,154.4,20.4,5.9,6.59,Moderate,2022,2022-08
2022-09-01,Delhi,Delhi,172.6,76.2,114.6,20.2,12.1,7.17,Moderate,2022,2022-09
2022-09-02,Delhi,Delhi,194.4,107.3,128.1,25.2,7.0,5.3,Moderate,2022,2022-09
2022-09-03,Delhi,Delhi,139.1,75.6,86.6,19.9,9.1,3.38,Moderate,2022,2022-09
2022-09-04,Delhi,Delhi,138.6,84.7,103.0,24.5,8.0,3.01,Moderate,2022,2022-09
2022-09-05,Delhi,Delhi,183.7,97.7,171.0,28.0,13.0,10.17,Moderate,2022,2022-09
2022-09-06,Delhi,Delhi,158.4,83.4,113.1,28.6,11.9,5.41,Moderate,2022,2022-09
2022-09-07,Delhi,Delhi,159.2,69.6,137.3,18.0,11.3,5.88,Moderate,2022,2022-09
2022-09-08,Delhi,Delhi,159.0,84.2,116.2,23.9,6.1,7.87,Moderate,2022,2022-09
2022-09-09,Delhi,Delhi,180.1,105.7,114.7,16.5,5.6,8.23,Moderate,2022,2022-09
2022-09-10,Delhi,Delhi,195.3,85.1,138.0,29.6,10.7,11.62,Moderate,2022,2022-09
2022-09-11,Delhi,Delhi,223.0,92.0,184.6,28.7,11.5,10.86,Poor,2022,2022-09
2022-09-12,Delhi,Delhi,186.5,83.2,108.5,16.8,13.9,5.16,Moderate,2022,2022-09
2022-09-13,Delhi,Delhi,210.1,96.1,134.6,25.8,7.0,8.56,Poor,2022,2022-09
2022-09-14,Delhi,Delhi,179.1,105.9,145.1,25.8,8.3,5.97,Moderate,2022,2022-09
2022-09-15,Delhi,Delhi,139.3,75.3,132.1,22.2,8.1,6.86,Moderate,2022,2022-09
